wavelength_nm,If,abs_xs
899.6100347,0.003906899,7.56E-22
899.7099734,0.000936133,7.64E-22
899.809912,0.002256785,7.73E-22
899.9098507,0.00244561,7.78E-22
900.0097893,0.000983503,7.81E-22
900.1097279,0.001077909,7.85E-22
900.2096665,0.002870761,7.91E-22
900.309605,0.00178583,7.99E-22
900.4095436,0.002116281,8.08E-22
900.5094821,0.001408623,8.16E-22
900.6094206,0.003013327,8.25E-22
900.7093591,0.001408864,8.33E-22
900.8092976,0.00310823,8.40E-22
900.909236,0.002494799,8.48E-22
901.0091744,0.00273106,8.57E-22
901.1091129,0.002070295,8.64E-22
901.2090512,0.00070118,8.70E-22
901.3089896,0.003109555,8.76E-22
901.408928,0.001598571,8.81E-22
901.5088663,0.00282668,8.88E-22
901.6088046,0.001646089,8.95E-22
901.7087429,0.003299595,9.00E-22
901.8086812,0.001410218,9.04E-22
901.9086195,0.000796135,9.10E-22
902.0085577,0.000843468,9.18E-22
902.1084959,0.002686576,9.26E-22
902.2084341,0.003017651,9.34E-22
902.3083723,0.003490601,9.40E-22
902.4083105,0.002167353,9.44E-22
902.5082486,0.001269318,9.48E-22
902.6081867,0.002215043,9.53E-22
902.7081248,0.002215254,9.60E-22
902.8080629,0.002735652,9.67E-22
902.908001,0.002688633,9.74E-22
903.0079391,0.002121315,9.81E-22
903.1078771,0.002216134,9.87E-22
903.2078151,0.001222898,9.92E-22
903.3077531,0.002595074,1.00E-21
903.4076911,0.002027536,1.01E-21
903.507629,0.002595599,1.01E-21
903.6075669,0.003495041,1.02E-21
903.7075049,0.001744137,1.03E-21
903.8074428,0.001318288,1.03E-21
903.9073806,0.002833307,1.04E-21
904.0073185,0.001649955,1.05E-21
904.1072563,0.002833851,1.05E-21
904.2071941,0.00150821,1.06E-21
904.3071319,0.002076649,1.07E-21
904.4070697,0.002171619,1.07E-21
904.5070075,0.00330871,1.08E-21
904.6069452,0.002361579,1.09E-21
904.706883,0.002693465,1.10E-21
904.8068207,0.003499255,1.11E-21
904.9067583,0.002314905,1.12E-21
905.006696,0.00089336,1.13E-21
905.1066337,0.001841472,1.14E-21
905.2065713,0.002694945,1.15E-21
