wavelength_nm,If,abs_xs
919.935,3.528e-05,1.85325e-22
920.034,-0.00053828,-2.7972599999999998e-21
920.134,0.00043257,2.22382e-21
920.234,0.00118345,6.01884e-21
920.334,7.95184e-05,4.00085e-22
920.434,-8.84117e-06,-4.4006500000000004e-23
920.534,0.0017598,8.66553e-21
920.634,-0.000893555,-4.3528699999999994e-21
920.734,-5.31063e-05,-2.55933e-22
920.834,0.00114226,5.4459e-21
920.934,-0.000584669,-2.75769e-21
921.034,0.000168385,7.85718e-22
921.134,0.00012412,5.72974e-22
921.233,0.000478969,2.1874099999999998e-21
921.333,-0.0008075,-3.6483599999999995e-21
921.433,0.000301843,1.34918e-21
921.533,-0.000541786,-2.39579e-21
921.633,0.000657537,2.8765799999999998e-21
921.733,-5.33379e-05,-2.30849e-22
921.833,0.00132511,5.67388e-21
921.933,-0.000943113,-3.99513e-21
922.033,0.000436159,1.82789e-21
922.133,0.000970641,4.02443e-21
922.233,-5.34557e-05,-2.19271e-22
922.333,-0.000900238,-3.65331e-21
922.433,0.000570699,2.2912899999999997e-21
922.532,0.000258713,1.02762e-21
922.632,0.00016958,6.66403e-22
922.732,0.000705414,2.7425299999999998e-21
922.832,-8.93498e-06,-3.4367600000000004e-23
922.932,0.000795393,3.02681e-21
923.032,0.000482828,1.8178e-21
923.132,0.00124341,4.6314399999999994e-21
923.232,-0.000635415,-2.34159e-21
923.332,8.0581e-05,2.93792e-22
923.432,0.000394135,1.42169e-21
923.532,-0.000905113,-3.23011e-21
923.632,-0.000815875,-2.88067e-21
923.732,-0.000905951,-3.1646899999999997e-21
923.831,0.000484596,1.6748e-21
923.931,0.00165198,5.6487e-21
924.031,-0.000952125,-3.2210399999999997e-21
924.131,0.00133897,4.4816199999999995e-21
924.231,-5.39447e-05,-1.78638e-22
924.331,-0.000503709,-1.65032e-21
924.431,-0.000233975,-7.58438e-22
924.531,0.000171063,5.48619e-22
924.631,0.000801646,2.54369e-21
924.731,-0.000234301,-7.35569e-22
924.831,0.000306537,9.52137e-22
924.931,0.00152436,4.6846099999999994e-21
925.031,-0.000550484,-1.67379e-21
925.13,-0.000776477,-2.3359e-21
925.23,-0.00104783,-3.1188e-21
925.33,0.000307267,9.04871e-22
925.43,0.000397824,1.1591399999999999e-21
925.53,-0.000325645,-9.38781e-22
925.63,-5.43014e-05,-1.54884e-22
925.73,0.00157549,4.44619e-21
925.83,0.000579763,1.61883e-21
925.93,-0.000280953,-7.76184e-22
926.03,0.000126942,3.46989e-22
926.13,0.000625964,1.6929399999999998e-21
926.23,-0.000281362,-7.52903e-22
926.329,-0.000508504,-1.34633e-21
926.429,0.000672283,1.76114e-21
926.529,-0.000963476,-2.49729e-21
926.629,-0.000736604,-1.88907e-21
926.729,0.000673278,1.70842e-21
926.829,0.000172952,4.34225e-22
926.929,-0.000692127,-1.71935e-21
927.029,0.00131205,3.2249199999999997e-21
927.129,-9.11775e-06,-2.21742e-23
927.229,0.00108533,2.61165e-21
927.329,-0.000419746,-9.99385e-22
927.429,0.000264757,6.23716e-22
927.529,8.2204e-05,1.91615e-22
927.628,-0.000922989,-2.1287699999999997e-21
927.728,0.00063087,1.43969e-21
927.828,0.000539707,1.2186699999999999e-21
927.928,0.000402694,8.99711e-22
928.028,8.24081e-05,1.82179e-22
928.128,-0.000192385,-4.2082499999999997e-22
928.228,0.00104489,2.26154e-21
928.328,-0.000880349,-1.88535e-21
928.428,0.00132119,2.79966e-21
928.528,0.000771079,1.61676e-21
928.628,-0.000514304,-1.0670199999999999e-21
928.728,-0.00120371,-2.4710499999999997e-21
928.828,-0.000422895,-8.59017e-22
928.927,0.00183044,3.67904e-21
929.027,-0.000239273,-4.75865e-22
929.127,0.000313052,6.16053e-22
929.227,0.000451389,8.78953e-22
929.327,0.000359449,6.92573e-22
929.427,-5.53293e-05,-1.05487e-22
929.527,0.000821126,1.54906e-21
929.627,0.000867696,1.61973e-21
929.727,0.000683425,1.2623599999999999e-21
929.827,-0.00111805,-2.0435e-21
929.927,-0.000332812,-6.01908e-22
930.027,0.000406974,7.28315e-22
930.126,0.000823598,1.4584399999999998e-21
930.226,0.000175921,3.08259e-22
930.326,0.00175086,3.0358e-21
930.426,-0.000982453,-1.68561e-21
930.526,0.000315286,5.35274e-22
930.626,-0.00107622,-1.808e-21
930.726,-0.000751875,-1.24989e-21
930.826,-0.00056651,-9.31887e-22
930.926,0.00161676,2.63167e-21
931.026,-0.00028819,-4.6418899999999995e-22
931.126,0.000595274,9.48779e-22
931.226,0.0003164,4.99019e-22
931.326,0.00162003,2.52835e-21
931.425,-0.000661397,-1.02144e-21
931.525,-0.000428737,-6.55204e-22
931.625,-0.00117496,-1.77683e-21
931.725,0.000317215,4.74695e-22
931.825,0.00176424,2.6125e-21
931.925,0.000831185,1.21797e-21
932.025,0.00162585,2.35755e-21
932.125,0.000691806,9.92674e-22
932.225,0.000458334,6.508e-22
932.325,0.00111368,1.56484e-21
932.425,0.00134834,1.87479e-21
932.525,-9.37006e-06,-1.28927e-23
932.624,-0.000993533,-1.35279e-21
932.724,0.000365733,4.92787e-22
932.824,8.44405e-05,1.12589e-22
932.924,3.75461e-05,4.95404e-23
933.024,-0.000244194,-3.18845e-22
933.124,-0.000667175,-8.62058e-22
933.224,0.00135387,1.73112e-21
933.324,0.000178733,2.26156e-22
933.424,-0.000244704,-3.06408e-22
933.524,0.00149722,1.8552399999999998e-21
933.624,0.000838484,1.02817e-21
933.724,0.00154587,1.8758599999999998e-21
933.824,-0.000858235,-1.0306099999999999e-21
933.923,-0.000575606,-6.84029e-22
934.023,0.00164274,1.93187e-21
934.123,0.00041562,4.83691e-22
934.223,0.00150266,1.7306e-21
934.323,0.0015507,1.76736e-21
934.423,0.000558164,6.29543e-22
934.523,0.0010317,1.15155e-21
934.623,0.00197932,2.18631e-21
934.723,0.00112758,1.23257e-21
934.823,-0.00109972,-1.18964e-21
934.923,0.000512202,5.48333e-22
935.023,0.00203087,2.1515799999999998e-21
935.122,0.000702627,7.36666e-22
935.222,0.000465507,4.82997e-22
935.322,0.00336484,3.45508e-21
935.422,0.00108415,1.10168e-21
935.522,8.56334e-05,8.611650000000001e-23
935.622,0.00089487,8.90594e-22
935.722,0.000180975,1.78244e-22
935.822,-0.000104832,-1.02181e-22
935.922,-0.000963053,-9.28981e-22
936.022,-0.000486546,-4.64474e-22
936.122,-0.000439071,-4.14815e-22
936.222,0.0001337,1.25007e-22
936.321,-0.000343996,-3.18302e-22
936.421,0.00271515,2.48636e-21
936.521,0.000468703,4.24771e-22
936.621,0.000708218,6.352e-22
936.721,0.000756483,6.71475e-22
936.821,0.000325745,2.8615299999999998e-22
936.921,0.00157204,1.3667e-21
937.021,0.00200451,1.72468e-21
937.121,-0.0002495,-2.12453e-22
937.221,0.000902501,7.60558e-22
937.321,0.000182519,1.52225e-22
937.421,0.000134556,1.11065e-22
937.521,0.00244262,1.99537e-21
937.62,0.000182814,1.478e-22
937.72,0.00220452,1.76391e-21
937.82,0.00143515,1.13647e-21
937.92,0.000809531,6.34446e-22
938.02,0.0040402,3.13375e-21
938.12,-0.000829709,-6.36926e-22
938.22,-0.000540557,-4.10683e-22
938.32,0.000328369,2.46906e-22
938.42,0.00221288,1.64676e-21
938.52,0.00158562,1.16782e-21
938.62,8.70623e-05,6.34623e-23
938.72,0.00216813,1.5641499999999999e-21
938.819,-0.000445483,-3.18077e-22
938.919,0.000620147,4.38233e-22
939.019,0.00275335,1.92567e-21
939.119,-0.000203699,-1.4100099999999999e-22
939.219,0.00154315,1.05719e-21
939.319,0.00280637,1.90285e-21
939.419,-0.000349778,-2.34728e-22
939.519,0.00178874,1.18805e-21
939.619,3.8904e-05,2.5574000000000002e-23
939.719,0.00135277,8.80126e-22
939.819,0.000477141,3.07246e-22
939.919,0.000477405,3.04261e-22
940.018,0.00106258,6.70257e-22
940.118,-0.00074132,-4.62814e-22
940.218,-0.000253757,-1.56798e-22
940.318,0.00194334,1.1884899999999999e-21
