wavelength_nm,If,abs_xs
904.946,6.06591e-05,2.9145e-23
905.146,8.95547e-05,4.25197e-23
905.346,-0.000690528,-3.23981e-22
905.546,0.000667491,3.09472e-22
905.745,0.000436376,1.9993e-22
905.945,0.00113009,5.11653e-22
906.145,-0.000257268,-1.15104e-22
906.345,0.00110146,4.86996e-22
906.545,-0.000141674,-6.19007e-23
906.745,8.96403e-05,3.8704500000000004e-23
906.945,0.000147498,6.2936e-23
907.144,0.000581385,2.45152e-22
907.344,0.000436819,1.82026e-22
907.544,-0.000575761,-2.37102e-22
907.744,0.000784182,3.19136e-22
907.944,-0.000431219,-1.7342899999999999e-22
908.144,-0.00086545,-3.43983e-22
908.343,8.97422e-05,3.52503e-23
908.543,0.00061092,2.37151e-22
908.743,-0.000199813,-7.66553e-23
908.943,-5.50294e-05,-2.08637e-23
909.143,0.000900898,3.37562e-22
909.343,-0.000373754,-1.38404e-22
909.543,-5.5058e-05,-2.01497e-23
909.742,-0.00106949,-3.86824e-22
909.942,0.00104649,3.74078e-22
910.142,0.000959702,3.39044e-22
910.342,0.000959855,3.35136e-22
910.542,-0.000519168,-1.79152e-22
910.742,-5.51173e-05,-1.87975e-23
910.941,-0.000142172,-4.7921500000000004e-23
911.141,-0.000867716,-2.89066e-22
911.341,0.00084467,2.78109e-22
911.541,0.000815804,2.65474e-22
911.741,-2.61345e-05,-8.405490000000001e-24
911.941,3.19496e-05,1.0156100000000001e-23
912.141,-0.00028761,-9.036140000000001e-23
912.34,0.000816522,2.53551e-22
912.54,0.000177284,5.44113e-23
912.74,0.000206401,6.26116e-23
912.94,0.00017737,5.31799e-23
913.14,3.19938e-05,9.481170000000001e-24
913.34,-0.000142554,-4.17547e-23
913.539,-2.619e-05,-7.582200000000001e-24
913.739,0.00110901,3.17345e-22
913.939,0.00113841,3.21981e-22
914.139,0.000585384,1.63649e-22
914.339,-0.000754513,-2.08488e-22
914.539,-0.000929565,-2.53885e-22
914.739,-0.000113679,-3.0689200000000004e-23
914.938,0.000673534,1.79727e-22
915.138,-0.000580409,-1.53087e-22
915.338,0.00146166,3.81071e-22
915.538,-0.000434849,-1.12061e-22
915.738,0.00222161,5.659e-22
915.938,0.000645384,1.62499e-22
916.137,0.00017819,4.43486e-23
916.337,6.1367e-05,1.50972e-23
916.537,-0.000523264,-1.27248e-22
916.737,0.000353835,8.505490000000001e-23
916.937,0.00088051,2.09221e-22
917.137,0.000354085,8.316720000000001e-23
917.337,0.00146661,3.40516e-22
917.536,0.00117431,2.69514e-22
917.736,0.000852508,1.9340999999999999e-22
917.936,0.00179066,4.01585e-22
918.136,0.00202588,4.49121e-22
918.336,0.00211465,4.6342299999999995e-22
918.536,0.000619091,1.34117e-22
918.735,0.00191088,4.09218e-22
918.935,0.00100135,2.11984e-22
919.135,0.00164804,3.44891e-22
919.335,0.00179566,3.71481e-22
919.535,0.001473,3.01243e-22
919.735,0.00241486,4.88216e-22
919.935,-0.000232467,-4.64608e-23
920.134,0.00244631,4.83333e-22
920.334,-0.000262114,-5.11959e-23
920.534,0.00177074,3.41912e-22
920.734,0.00362847,6.926239999999999e-22
920.934,0.00277487,5.23641e-22
921.134,0.00192051,3.58283e-22
921.333,0.0019804,3.65246e-22
921.533,0.0035757,6.51956e-22
921.733,0.00384315,6.9274199999999995e-22
921.933,0.00408129,7.27296e-22
922.133,0.00414226,7.29763e-22
922.333,0.00429202,7.47549e-22
922.532,0.00435312,7.49574e-22
922.732,0.00328925,5.59949e-22
922.932,0.00432749,7.2833099999999995e-22
923.132,0.00400347,6.66149e-22
923.332,0.00344206,5.66236e-22
923.532,0.00379953,6.17954e-22
923.732,0.00394969,6.35095e-22
923.931,0.00555471,8.83057e-22
924.131,0.00487418,7.66095e-22
924.331,0.00446044,6.9313e-22
924.531,0.00574106,8.820379999999999e-22
924.731,0.00627917,9.53801e-22
924.931,0.0070858,1.06416e-21
925.13,0.00673199,9.99601e-22
925.33,0.0069437,1.0193899999999999e-21
925.53,0.00846706,1.229e-21
925.73,0.00754704,1.0830999999999999e-21
925.93,0.00784909,1.11374e-21
926.13,0.00821114,1.1519799999999999e-21
926.329,0.00872302,1.21e-21
926.529,0.00887691,1.2174799999999999e-21
926.729,0.00938966,1.27331e-21
926.929,0.00780931,1.04708e-21
927.129,0.0085016,1.12708e-21
927.329,0.0112008,1.46823e-21
927.529,0.010278,1.3321199999999999e-21
927.728,0.0108829,1.39468e-21
927.928,0.0126281,1.60016e-21
928.128,0.0151853,1.9026e-21
928.328,0.0127317,1.5772899999999998e-21
928.528,0.0150214,1.8400899999999997e-21
928.728,0.0147589,1.78767e-21
928.927,0.0162707,1.9487e-21
929.127,0.0159485,1.88873e-21
929.327,0.0160778,1.88273e-21
929.527,0.0165687,1.91851e-21
929.727,0.0182356,2.0878999999999997e-21
929.927,0.019392,2.19548e-21
930.126,0.0177129,1.98298e-21
930.326,0.0191114,2.1156499999999998e-21
930.526,0.0204209,2.23538e-21
930.726,0.0210369,2.2771099999999998e-21
930.926,0.021019,2.2498e-21
931.126,0.0222409,2.35405e-21
931.326,0.0212549,2.22462e-21
931.525,0.020722,2.14469e-21
931.725,0.0220071,2.25234e-21
931.925,0.0242035,2.44956e-21
932.125,0.0247639,2.4784e-21
932.325,0.0232299,2.29904e-21
932.525,0.0230921,2.2599999999999997e-21
932.724,0.0228933,2.2156499999999997e-21
932.924,0.0238197,2.27971e-21
933.124,0.0243517,2.30476e-21
933.324,0.0270159,2.52855e-21
933.524,0.0248079,2.29615e-21
933.724,0.0265305,2.42837e-21
933.923,0.0253878,2.29804e-21
934.123,0.0253428,2.2685599999999998e-21
934.323,0.0256031,2.2664999999999998e-21
934.523,0.0264441,2.31504e-21
934.723,0.0267667,2.31737e-21
934.923,0.0272432,2.33255e-21
935.122,0.0263724,2.2330499999999997e-21
935.322,0.027768,2.32525e-21
935.522,0.0272337,2.25534e-21
935.722,0.0251036,2.056e-21
935.922,0.0249352,2.01968e-21
936.122,0.0257811,2.06518e-21
936.321,0.0273348,2.1654999999999998e-21
936.521,0.0279681,2.19127e-21
936.721,0.0278016,2.15425e-21
936.921,0.0275729,2.11301e-21
937.121,0.0274369,2.07946e-21
937.321,0.0270541,2.0279e-21
937.521,0.0265775,1.97029e-21
937.72,0.0297453,2.1809e-21
937.92,0.0287141,2.08218e-21
938.12,0.028485,2.0429e-21
938.32,0.0303296,2.15133e-21
938.52,0.0284298,1.9944599999999998e-21
938.72,0.0289438,2.00826e-21
938.919,0.0299861,2.05778e-21
939.119,0.0300053,2.03655e-21
939.319,0.0291559,1.95724e-21
939.519,0.0306348,2.03402e-21
939.719,0.0313702,2.06007e-21
939.919,0.0303325,1.97015e-21
940.118,0.0324709,2.086e-21
940.318,0.0320571,2.0369199999999997e-21
940.518,0.031331,1.96905e-21
940.718,0.0314773,1.95666e-21
940.918,0.0325915,2.00382e-21
941.118,0.0315518,1.9187499999999998e-21
941.317,0.0321362,1.93299e-21
941.517,0.0330967,1.96908e-21
941.717,0.0327753,1.9287299999999998e-21
941.917,0.0322648,1.87802e-21
942.117,0.0333841,1.9220299999999997e-21
942.317,0.0350694,1.9971099999999997e-21
942.516,0.0338068,1.90428e-21
942.716,0.0335476,1.86915e-21
942.916,0.033445,1.8432e-21
943.116,0.0347263,1.89304e-21
943.316,0.0347504,1.8737999999999997e-21
943.516,0.0374831,1.99924e-21
943.715,0.0373516,1.9706299999999998e-21
943.915,0.0385444,2.0115299999999998e-21
944.115,0.0396128,2.0449e-21
944.315,0.0379349,1.9370799999999997e-21
944.515,0.0402061,2.03084e-21
944.715,0.0418472,2.09087e-21
944.914,0.0435538,2.1526099999999998e-21
945.114,0.0431408,2.10916e-21
945.314,0.0450101,2.17678e-21
945.514,0.0443122,2.1198899999999998e-21
